country_code,variable,statistic,pvalue,lags
ABW,lgdp,-2.9355564960913694,0.04136675193508282,1
AGO,lgdp,-3.1794847285681365,0.021203320184703858,1
ALB,lgdp,-0.8461431587730045,0.8051908379508024,1
ARE,lgdp,-1.2622653414016762,0.6462543889058175,1
ARG,lgdp,-1.7197987376721349,0.4209415217656503,1
ARM,lgdp,-2.1325818501721927,0.23161665148301014,1
AUS,lgdp,-2.1528706293111,0.2237929020593718,1
AUT,lgdp,-1.3295085291830155,0.6155663547162654,1
AZE,lgdp,-2.427552193797174,0.134110512693967,1
BEL,lgdp,-0.9034824082481927,0.786823447434845,1
BEN,lgdp,1.5123629191481776,0.9975693158773857,1
BFA,lgdp,-1.0352216911113674,0.7402022756460442,1
BGD,lgdp,1.7041207558985492,0.9981386285226587,1
BGR,lgdp,-1.8382987276123819,0.3616199510912807,1
BHR,lgdp,-2.231174485762028,0.19512605660342436,1
BHS,lgdp,-2.604828931950884,0.09200332701998987,1
BIH,lgdp,-0.7102362279475569,0.8440802777267085,1
BLR,lgdp,-3.0615100504694337,0.0295358769336507,1
BLZ,lgdp,-2.3533423061641296,0.15534034091135013,1
BMU,lgdp,-3.013365527657978,0.03366494031573984,1
BOL,lgdp,-1.0532902498379595,0.733335473797265,1
BRA,lgdp,-1.8508286458438707,0.3555343276912123,1
BRN,lgdp,-0.47028740482980386,0.8976854562779484,1
BTN,lgdp,-2.117226714114619,0.237644308512393,1
BWA,lgdp,-1.2079543598146911,0.670164621050999,1
CAF,lgdp,-2.0425472817889783,0.26823464144443676,1
CAN,lgdp,-1.3904417869423473,0.5868497709788111,1
CHE,lgdp,-0.2504570555627214,0.9322339004195729,1
CHL,lgdp,-1.9300116370890428,0.3180770343661456,1
CHN,lgdp,-3.368610889142366,0.01207661575894007,1
CIV,lgdp,0.20769989082981688,0.9726901657082563,1
CMR,lgdp,-1.5196077363339526,0.5237903383617573,1
COD,lgdp,-0.9525717382806627,0.770167477539038,1
COG,lgdp,-0.6448709880744641,0.8605173435157327,1
COL,lgdp,-0.9912202005827986,0.7564530463921062,1
COM,lgdp,-1.331327704826159,0.6147208036343635,1
CPV,lgdp,-1.441735505576672,0.5621122422382739,1
CRI,lgdp,-0.6619288172850435,0.8563659737974672,1
CUB,lgdp,-2.1373618143056285,0.22975893447119067,1
CUW,lgdp,1.2656514395158216,0.9964095175323245,1
CYP,lgdp,-0.8745384201379621,0.7962416151169572,1
CZE,lgdp,-1.3992669682376546,0.5826274926661098,1
DEU,lgdp,-0.5750304509317385,0.8765248961038199,1
DJI,lgdp,-4.0873529644291136,0.0010162090003111948,1
DNK,lgdp,-0.35316938811326637,0.917629094079652,1
DOM,lgdp,0.06277467842436896,0.9634257035784093,1
DZA,lgdp,-3.420253180150124,0.010287516345988014,1
EAR,lgdp,-0.7769144842738123,0.8258093941283136,1
ECU,lgdp,-1.509658998625864,0.5287278741090005,1
EGY,lgdp,-0.003414717640148603,0.9582487786220669,1
EMU,lgdp,-0.47456080168574033,0.8968859137053276,1
ERI,lgdp,-1.3952372077185589,0.5845573190344435,1
ESP,lgdp,-2.096116540317303,0.24607902481941535,1
EST,lgdp,-1.9923803690351731,0.28992400321412937,1
ETH,lgdp,-4.080224992077659,0.0010440432083600347,1
FIN,lgdp,-2.2283112463925563,0.19613100867067068,1
FJI,lgdp,-1.3568928848543125,0.6027590032545391,1
FRA,lgdp,-1.139629113358792,0.6990124310690451,1
FRO,lgdp,-1.8617398058616903,0.3502683123704452,1
GAB,lgdp,-2.11686628801178,0.2377868871652739,1
GBR,lgdp,-1.5506417068297789,0.5083276394442399,1
GEO,lgdp,-1.4826531238216396,0.5420744740630233,1
GHA,lgdp,-0.8018195764389267,0.8185869964097482,1
GIN,lgdp,0.6830374834975629,0.989493202776065,1
GMB,lgdp,-1.952964017631049,0.30756961899933766,1
GNB,lgdp,0.9081000078168922,0.9931951283589832,1
GNQ,lgdp,-0.49862512764096906,0.8922845145911606,1
GRC,lgdp,-1.83971241752494,0.36093132627598923,1
GRL,lgdp,-3.8640322215917293,0.002316087549812037,1
GTM,lgdp,0.4374645267701954,0.9828431929479098,1
GUY,lgdp,-5.431652872966917,2.9054785247374675e-06,1
HKG,lgdp,-2.4380623667499703,0.13128043033306458,1
HND,lgdp,-1.2562191610715765,0.6489566786599014,1
HRV,lgdp,-0.5321547853408911,0.8855875055009003,1
HTI,lgdp,-1.0025708698078855,0.7523254809533627,1
HUN,lgdp,-0.19579716213540013,0.9390207338156331,1
IDN,lgdp,-1.1551611382176477,0.6925809532277053,1
IND,lgdp,-0.6784065255738713,0.8522637359061167,1
IRL,lgdp,0.7892717200071225,0.9914610049182714,1
IRN,lgdp,-3.1936454194385706,0.020355466421758672,1
IRQ,lgdp,-1.5095849277335356,0.5287645959665278,1
ISL,lgdp,-1.8077751184578947,0.37660845278907096,1
ISR,lgdp,0.3077773129517477,0.9776985045738045,1
ITA,lgdp,-1.8274318115800636,0.36693009677060723,1
JOR,lgdp,-0.7107198657860283,0.8439532768673028,1
JPN,lgdp,-0.7802484167818706,0.8248552105091702,1
KAZ,lgdp,-3.3560229687676744,0.012552579811548203,1
KEN,lgdp,0.929690925025548,0.9934658216009242,1
KGZ,lgdp,-1.2858326437051844,0.6356287155080675,1
KHM,lgdp,-1.9407842263026824,0.3131247185686724,1
KIR,lgdp,0.1427508361076079,0.9688615626131555,1
KOR,lgdp,-3.1218325644324256,0.024979106697030986,1
KWT,lgdp,-1.2886946242455382,0.6343285346031322,1
LAO,lgdp,-0.5136767749870625,0.8893198190032637,1
LBN,lgdp,-2.0079134952283493,0.2831141231237109,1
LBY,lgdp,-1.3087912114780493,0.625140787676876,1
LKA,lgdp,-1.2146290082761027,0.6672712362368078,1
LSO,lgdp,-1.2902488145603133,0.6336216011829556,1
LTE,lgdp,-2.8466653110549047,0.0519109254419076,1
LTU,lgdp,-1.5662392018066855,0.5005269561534242,1
LUX,lgdp,-2.6565509013260526,0.08186331579562578,1
LVA,lgdp,-1.9052316698723606,0.32960398485601383,1
MAC,lgdp,-1.4876945659300165,0.5395896413230832,1
MAR,lgdp,-2.819763250074299,0.05550571204545584,1
MDA,lgdp,-1.8584045842830026,0.35187462338823333,1
MDG,lgdp,-3.1678223482382943,0.021924448087590184,1
MDV,lgdp,-2.5528611511521713,0.10313644495041796,1
MEX,lgdp,-2.2983262083013707,0.17250837094019772,1
MHL,lgdp,1.2199527394464882,0.9961208797730462,1
MKD,lgdp,-1.3309629362838769,0.614890409018262,1
MLI,lgdp,-1.138162242573988,0.6996158869682143,1
MLT,lgdp,0.572073908888405,0.9869066860390017,1
MNE,lgdp,-0.9388333328171008,0.7749152801848376,1
MNG,lgdp,-1.7241971847052922,0.41869045057342164,1
MOZ,lgdp,-1.8518255600380378,0.3550518850691869,1
MRT,lgdp,-2.35841764852268,0.15381818000322656,1
MUS,lgdp,-1.143578491177341,0.6973842999742683,1
MWI,lgdp,-127.23114977362673,0.0,1
MYS,lgdp,-0.8343945164366233,0.8088096200366088,1
NAM,lgdp,-2.42223922855888,0.13555767465212704,1
NER,lgdp,1.0430338956115106,0.9946998789665176,1
NIC,lgdp,-0.9404031946786648,0.7743761487793126,1
NLD,lgdp,-0.09272055246688875,0.9501587850080876,1
NOR,lgdp,-0.7802955701393155,0.8248416870691855,1
NPL,lgdp,0.45185883554692713,0.9833340551678338,1
NZL,lgdp,-0.5612164487229518,0.8795069446741588,1
OMN,lgdp,-2.2257486639861983,0.19703323901757253,1
PAK,lgdp,-0.5488094800776672,0.8821346368863765,1
PAN,lgdp,-1.1855740383662963,0.6797704081101157,1
PER,lgdp,-1.9142732441864239,0.32537660442634936,1
PHL,lgdp,-0.39202013012678305,0.9114226283147118,1
PLW,lgdp,-2.0117709595995836,0.28143591232982035,1
POL,lgdp,0.2953554163102752,0.9771303893772657,1
PRI,lgdp,-3.054749463444993,0.030088265090594986,1
