country_code,variable,statistic,pvalue,lags
ABW,linv,-0.6271771134502259,0.864722114540937,1
AGO,linv,-0.34464564963314187,0.9189388430223215,1
ALB,linv,-0.9459752879068326,0.7724554796965355,1
ARE,linv,-1.858712367384456,0.3517262642028741,1
ARG,linv,-3.274984182732892,0.016034391102886538,1
ARM,linv,-1.2605925976107288,0.6470029923029785,1
AUS,linv,-1.5540898238723098,0.5066046430913832,1
AUT,linv,-0.29862494074064955,0.9256988560986543,1
AZE,linv,-2.5394480877498005,0.1061687606428644,1
BEL,linv,-2.0369566336588374,0.2706075824967865,1
BEN,linv,0.5974185676841631,0.9875518281713241,1
BFA,linv,-2.202006400635397,0.20551805527248268,1
BGD,linv,-0.47748888372526077,0.896335034606544,1
BGR,linv,-2.06437958517409,0.25907677365444115,1
BHR,linv,-3.3568609929647866,0.01252038375752165,1
BHS,linv,-2.0026530672309892,0.28541103463396733,1
BIH,linv,-1.9553531709442185,0.3064855181385041,1
BLR,linv,-1.312488204417197,0.623439754849005,1
BLZ,linv,-2.2373731362356635,0.19296176482921773,1
BMU,linv,-1.4094422487387215,0.577741107934325,1
BOL,linv,-1.3836927003528336,0.5900685948055613,1
BRA,linv,-1.8043997119595345,0.37827955696282917,1
BRN,linv,-1.6504990913702775,0.4567801467806667,1
BTN,linv,-4.464376416408043,0.00022793262288305942,1
BWA,linv,-2.9592602745758163,0.0388781297816566,1
CAF,linv,-1.0873818967455038,0.7200775383049637,1
CAN,linv,-2.349402907043108,0.15652897298872231,1
CHE,linv,-3.0359006109436915,0.031675048011734104,1
CHL,linv,-2.4115801974487687,0.1384946234895203,1
CHN,linv,-2.4670729890995498,0.1236927196653243,1
CIV,linv,-0.24140319480507239,0.9334031424812197,1
CMR,linv,-3.9916119672068926,0.0014550759755406091,1
COD,linv,-2.564232910015057,0.10061718878001663,1
COG,linv,-1.3709542666720547,0.5961191048209687,1
COL,linv,-2.7052060210569366,0.07314172446022935,1
COM,linv,-0.8702987242986969,0.7975960812115337,1
CPV,linv,-0.8898945445343761,0.7912820704522856,1
CRI,linv,-2.0231383399417235,0.2765207915126791,1
CUB,linv,-0.9854154118945835,0.7585464579275571,1
CUW,linv,-1.5093423066716547,0.5288848751548407,1
CYP,linv,-1.5659439710653273,0.5006747616415433,1
CZE,linv,-1.971970308777241,0.29899672830013113,1
DEU,linv,-2.579783670885527,0.09724797047374034,1
DJI,linv,-0.5895786062691994,0.8733194897028258,1
DNK,linv,-2.514931499241417,0.1118834694417038,1
DOM,linv,-2.218905567742613,0.19945551597069833,1
DZA,linv,-1.5454276050357316,0.5109313514532433,1
EAR,linv,-3.179378030153015,0.02120982327783907,1
ECU,linv,-1.6591862436222762,0.4522540414907358,1
EGY,linv,-2.2893082670636247,0.17543945844160375,1
EMU,linv,-1.760184934802634,0.4004001266410331,1
ERI,linv,-1.3819300680644149,0.5909077613327796,1
