country_code,variable,statistic,pvalue,lags
ABW,ltrade,-2.792096391836125,0.05941164136405069,1
AGO,ltrade,-1.0102057757827392,0.7495238024141941,1
ALB,ltrade,-2.454888994119607,0.12683955370733735,1
ARE,ltrade,-2.3980498640456696,0.14228757683391918,1
ARG,ltrade,-2.7038275310039808,0.07337827769455388,1
ARM,ltrade,-1.3397769496273826,0.6107836496139967,1
AUS,ltrade,-2.4479197483668687,0.12866546845016352,1
AUT,ltrade,-1.0228153519354093,0.7448522444917183,1
AZE,ltrade,-2.7768478838701456,0.06165774269331458,1
BEL,ltrade,-0.6102987332700989,0.8686379129007706,1
BEN,ltrade,-1.3709481032429278,0.5961220243205375,1
BFA,ltrade,-1.0927181364974636,0.7179670746384639,1
BGD,ltrade,-1.8503476093923044,0.3557672115326526,1
BGR,ltrade,-1.8472606610573898,0.3572631289902236,1
BHR,ltrade,-3.150099490407545,0.023060991450169443,1
BHS,ltrade,-2.241938377721582,0.19137771273115722,1
BIH,ltrade,-1.2113501584363073,0.6686942017817682,1
BLR,ltrade,-4.879136558620593,3.8286408746400746e-05,1
BLZ,ltrade,-2.658621304766087,0.08147633573747254,1
BMU,ltrade,-5.253698947157896,6.823821735240125e-06,1
BOL,ltrade,-1.8799278567382236,0.34156178918922264,1
BRA,ltrade,0.06927305225425394,0.9638995159504602,1
BRN,ltrade,-0.5789554373048037,0.8756666858334603,1
BTN,ltrade,-2.079717132376373,0.2527482624935946,1
BWA,ltrade,-1.7990353459931907,0.38094072261536344,1
CAF,ltrade,-1.3685781326979747,0.5972440511790802,1
CAN,ltrade,-2.8546470398962973,0.0508818335824707,1
CHE,ltrade,-1.0362566459705458,0.7398119713591502,1
CHL,ltrade,-1.6047434658733428,0.4812102702562598,1
CHN,ltrade,-1.5653651852514694,0.5009645110852068,1
CIV,ltrade,-1.3178914531279908,0.6209477229565195,1
CMR,ltrade,-2.245136413594848,0.19027307404285992,1
COD,ltrade,-3.133019515750531,0.024204153022926618,1
COG,ltrade,-1.5888131303776458,0.48921059016640467,1
COL,ltrade,-1.809273587399351,0.37586743168862813,1
COM,ltrade,-1.700905945572415,0.4306457670057267,1
CPV,ltrade,-3.703170215982624,0.004068782546869694,1
CRI,ltrade,-1.3980434791544818,0.5832137389394589,1
CUB,ltrade,-2.4362889810687105,0.1317549098607857,1
CUW,ltrade,-2.3576558977459716,0.15404597725635283,1
CYP,ltrade,1.094883265688984,0.995172715887343,1
CZE,ltrade,-1.8093106375667254,0.37584911629478845,1
DEU,ltrade,-1.2967786223509419,0.6306448061443555,1
DJI,ltrade,-1.6033702508709136,0.4819002750955678,1
DNK,ltrade,-0.5076641566501892,0.8905121901775999,1
DOM,ltrade,-1.5932918449844007,0.48696236360110884,1
DZA,ltrade,-1.2113988499156392,0.6686730933623602,1
EAR,ltrade,-2.9044142512820716,0.04483708284582483,1
ECU,ltrade,-1.8686839936969954,0.3469334669447727,1
EGY,ltrade,-1.9112190876627477,0.3268018435982416,1
EMU,ltrade,-0.4679642055037084,0.898117917374148,1
ERI,ltrade,-2.1961295074310794,0.20765322038235845,1
ESP,ltrade,-0.8292214652798096,0.810387447202797,1
EST,ltrade,-1.6775625853974736,0.4427084003109738,1
ETH,ltrade,-1.1944782071908542,0.6759665257174468,1
FIN,ltrade,-2.189512913685795,0.21007365778737108,1
FJI,ltrade,-2.1473427344057425,0.22590861083074215,1
FRA,ltrade,-0.7802489040038618,0.8248550707793714,1
FRO,ltrade,-3.5721888207815224,0.006315525942302378,1
GAB,ltrade,-1.8907960282211644,0.33640326050213243,1
GBR,ltrade,-1.0171434370337415,0.7469603869358529,1
GEO,ltrade,-1.952595823958274,0.3077368538990647,1
GHA,ltrade,-2.60336903783492,0.0923029531453966,1
GIN,ltrade,-1.5402638302249978,0.5135077773945392,1
GMB,ltrade,-2.907910314322659,0.04443583794355786,1
GNB,ltrade,-3.28268348386417,0.015670491715908164,1
GNQ,ltrade,-0.17644484499927293,0.9412717047137189,1
GRC,ltrade,0.47042781872102807,0.9839460111004489,1
GRL,ltrade,-2.2682149465380217,0.1824242450907944,1
GTM,ltrade,-1.3193260710356007,0.6202848896964936,1
GUY,ltrade,-1.5191181616472242,0.5240335529423006,1
HKG,ltrade,-3.1762877889952996,0.021398921075946067,1
HND,ltrade,-1.8463966085911478,0.35768228705669847,1
HRV,ltrade,0.22548478071821215,0.9736552764718811,1
HTI,ltrade,-2.0364178034546296,0.2708368826776176,1
HUN,ltrade,-1.1725538455285276,0.6852895459671695,1
IDN,ltrade,-2.1230009494782767,0.23536693989867113,1
IND,ltrade,-2.7004416883070186,0.07396186885400151,1
IRL,ltrade,-0.5584119439479687,0.8801050872877263,1
IRN,ltrade,-3.395284839226927,0.011120665181615016,1
IRQ,ltrade,-1.550470023489518,0.5084134048063882,1
ISL,ltrade,-1.6028446600682167,0.4821643544180812,1
ISR,ltrade,-1.513644243305832,0.526751253728347,1
ITA,ltrade,-0.6391219165321242,0.861894822985374,1
JOR,ltrade,-0.8463511382666474,0.805126334320748,1
JPN,ltrade,-1.5064528185245578,0.530316840971097,1
KAZ,ltrade,-1.1374078995357244,0.6999259494885386,1
KEN,ltrade,-1.1534890346348114,0.6932769811946162,1
KGZ,ltrade,-2.4274532848963366,0.13413735221625672,1
KHM,ltrade,-2.242409179370361,0.19121483274333634,1
KIR,ltrade,-2.333834693507516,0.16128764636459952,1
KOR,ltrade,-1.825110234187623,0.36806833172213005,1
KWT,ltrade,-2.293807228881587,0.17397304313597423,1
LAO,ltrade,-1.6500309413356062,0.45702428798356814,1
LBN,ltrade,-2.1347340792242933,0.23077909473222302,1
LBY,ltrade,-2.417524701560281,0.13685115747015814,1
LKA,ltrade,-1.1845359534510103,0.6802123293907345,1
LSO,ltrade,-2.293799568901143,0.17397553289038137,1
LTE,ltrade,-2.1495938338783356,0.22504559364810506,1
LTU,ltrade,-1.3731992755736786,0.595055165649641,1
LUX,ltrade,-0.3424935984684492,0.919266625267628,1
LVA,ltrade,-0.8656842823717202,0.7990629812661552,1
MAC,ltrade,-1.6323619997672238,0.46625459150593984,1
MAR,ltrade,-1.0170511888667113,0.7469945816395763,1
MDA,ltrade,-1.4504633112161187,0.5578588143736039,1
MDG,ltrade,-2.4048921727403734,0.14036038735478729,1
MDV,ltrade,-1.845088033955523,0.3583174534486512,1
MEX,ltrade,-0.4865114472918431,0.8946219278756058,1
MHL,ltrade,-1.7503430494046166,0.4053784721287068,1
MKD,ltrade,-0.5434338446744703,0.883258401476692,1
MLI,ltrade,-0.40755406117529985,0.9088298589181563,1
MLT,ltrade,-0.5172981668257948,0.888596442202795,1
MNE,ltrade,-2.7861000604144386,0.06028687076108149,1
MNG,ltrade,-2.287441545729674,0.17605031836787127,1
MOZ,ltrade,-1.5279975651542335,0.5196186967538289,1
MRT,ltrade,-2.08489660402991,0.2506309597987815,1
MUS,ltrade,-1.7427858764721595,0.40921355431450146,1
MWI,ltrade,-1.1350346768408783,0.7009002477215054,1
MYS,ltrade,-1.2677663450291379,0.643787249927334,1
NAM,ltrade,-2.763190113710104,0.06372720980954807,1
NER,ltrade,-2.0077655181779877,0.28317860454242916,1
NIC,ltrade,-1.8970872275682407,0.3334326091188322,1
NLD,ltrade,-0.3184733700086121,0.922846893963827,1
NOR,ltrade,-3.6241320149766647,0.005316085700323716,1
NPL,ltrade,-4.564729306285901,0.0001499501266260561,1
NZL,ltrade,-2.2962257979958434,0.17318811632791342,1
OMN,ltrade,-1.677766531404369,0.4426026931572208,1
PAK,ltrade,-1.8226127759913673,0.36929426648392405,1
PAN,ltrade,-1.336815516201338,0.6121654623704292,1
PER,ltrade,-2.2434282644837347,0.19086257391574452,1
PHL,ltrade,-1.759549288702758,0.4007210915655175,1
PLW,ltrade,-0.7006952744565895,0.8465693639252303,1
POL,ltrade,-0.8483617427350093,0.8045019629957467,1
PRI,ltrade,-1.0897050785985705,0.7191598906915727,1
PRT,ltrade,-0.20292940126809622,0.9381715386192402,1
PRY,ltrade,-1.4249609141480712,0.5702527830369817,1
PSE,ltrade,-1.750748282792163,0.4051731267472139,1
PYF,ltrade,-7.536327548325146,3.4706466619269416e-11,1
QAT,ltrade,-4.10231083333607,0.0009600412507136874,1
ROU,ltrade,-1.1284019465512523,0.7036136854766843,1
RUS,ltrade,-2.2191608915499557,0.19936479933069873,1
RWA,ltrade,0.014920373859085094,0.95974873414604,1
SAU,ltrade,-1.5172552057609643,0.5249588235159199,1
SDN,ltrade,0.15662674072957233,0.9697212678435626,1
SEN,ltrade,-0.7763951508355212,0.8259576782190226,1
SGP,ltrade,-1.0538149202588023,0.7331344107617608,1
SLB,ltrade,-2.4746733609261935,0.12175879776041881,1
SLE,ltrade,-2.145103237621983,0.22676914959636196,1
SLV,ltrade,-2.162688469654015,0.22006490272723556,1
SMR,ltrade,-1.661894020020018,0.45084496608881675,1
SOM,ltrade,-0.7978254022320362,0.8197600048327103,1
SRB,ltrade,-0.7979472916871128,0.8197242916419876,1
SSD,ltrade,-1.0844281633584,0.7212416573942545,1
STP,ltrade,-1.5613569589473768,0.5029704931456365,1
SVK,ltrade,-1.4812317976930096,0.54277443018421,1
SVN,ltrade,-0.7436084022652136,0.8351284095437108,1
SWE,ltrade,-0.9979974779769349,0.7539939741738831,1
SWZ,ltrade,-1.2829199438094345,0.6369497855081377,1
SYC,ltrade,-1.5948845380543106,0.4861626587723265,1
TCD,ltrade,-1.007236483677758,0.7506158179392804,1
TGO,ltrade,-1.8094402067468067,0.3757850675301616,1
THA,ltrade,-2.6206525651586605,0.08880348296748125,1
TJK,ltrade,-1.2737835872412535,0.6410793974735606,1
TKM,ltrade,-1.6570492764155214,0.453366661251676,1
TLS,ltrade,-1.8989850065884597,0.33253874621896296,1
TON,ltrade,-2.589768923604937,0.09513031366268199,1
TUN,ltrade,-2.54206256323878,0.1055725066572979,1
TUR,ltrade,1.0265973044905274,0.9945388026840479,1
TZA,ltrade,-1.7308226329664578,0.4153057600201767,1
UGA,ltrade,-2.0615720663113564,0.2602446408658996,1
UKR,ltrade,-2.445091977465599,0.12941173330008698,1
URY,ltrade,-2.9859594324346723,0.03622658013818501,1
USA,ltrade,-2.1384915374672677,0.2293211710261695,1
UZB,ltrade,-2.0899296949549107,0.24858315473926967,1
VEN,ltrade,-1.0045844336673815,0.7515885639548572,1
VNM,ltrade,-1.233988360430971,0.6588066115858975,1
VUT,ltrade,-1.665179128537781,0.44913658914410753,1
WSM,ltrade,-2.2155786915447715,0.20063995409320612,1
XKX,ltrade,-0.8301537703641922,0.8101037880078721,1
YEM,ltrade,-1.7404406328302346,0.41040584161356886,1
ZAF,ltrade,-2.410533847499898,0.13878535408469145,1
ZMB,ltrade,-3.0918087490208386,0.02716534650255704,1
ZWE,ltrade,-0.8382209185533233,0.8076364139573792,1
