country_code,n_obs,adf_stat,pvalue
ABW,22,-3.24649120794235,0.0011765884688779236
ALB,23,-3.662356491884487,0.0002670934758440622
ARE,11,-2.8281795417792526,0.004575001633758698
ARG,23,-2.3494995539261727,0.01811094363639283
ARM,23,-2.9932907990962603,0.002721814022831273
AUS,23,-3.0409809903423297,0.002333099599670825
AUT,22,-2.5014578442404933,0.011955148190750414
AZE,23,-4.786309774555436,2.7382841597207496e-06
BEL,22,-4.082415559883531,5.282583475950892e-05
BEN,22,-2.803635696747586,0.004932730942934057
BFA,23,-2.505534461036152,0.011819375932514947
BGD,11,-3.1142869422203607,0.0018345489126915392
BGR,22,-1.311347884487884,0.17543445644195332
BHR,17,-1.956909012239157,0.04811431875796989
BHS,17,-2.489100684228639,0.012375213497081414
BIH,16,-2.2602379980782565,0.022895701049394285
BLR,23,-2.7668911352472265,0.005516077440536199
BLZ,23,-2.7226520020830782,0.006301208279313492
BOL,23,-2.8558431095448937,0.004200294670970316
BRA,11,-7.3205815376171435,1.1504873652335055e-11
BRN,23,-3.141804522002023,0.001674416770284735
BTN,23,-2.9228641767364336,0.0034059412225542775
BWA,16,-1.7167582839690794,0.08153366427200864
CAF,13,-4.771701098764748,2.9199275576308694e-06
CAN,20,-1.2379388465724392,0.19818534244328945
CHE,23,-3.0296143760794907,0.0024207841754175833
CHL,22,-3.017925735609066,0.002514120576882649
CHN,18,-5.5497081527878835,8.286125316161457e-08
CIV,20,-1.418334178104427,0.14552002999315106
CMR,21,-2.2619795542898715,0.022792773387374666
COD,13,-2.4123817888269983,0.015288561421097146
COG,14,-2.4970227736491055,0.012104431767741512
COL,22,-2.7152051874402225,0.006442909687595838
COM,13,-3.0811331115812686,0.0020463329915946685
CPV,16,-2.4279258666905523,0.014653639095720122
CRI,20,-3.288750943779689,0.001017955861245239
CUB,23,-1.929334403340266,0.05125876847514988
CYP,22,-3.35958158392753,0.0007961472551495808
CZE,22,-1.5133684847322004,0.1221264298294063
DEU,22,-1.5603883943381303,0.11162583733472686
DNK,21,-2.597081286232373,0.009110723207528704
DOM,22,-1.6055691164661785,0.10218423447702629
DZA,23,-3.597351197112883,0.0003395601066049224
EAR,23,-4.350805991638497,1.767875321242635e-05
ECU,23,-3.1810987156835937,0.0014681726926074553
EGY,21,-1.9925732066552264,0.04428527990582679
EMU,23,-2.4390008442468525,0.01421557030110861
ERI,12,-3.059030789696972,0.00219987419046065
ESP,22,-2.495062767862734,0.012170931253188452
EST,22,-2.5974598299594387,0.009100786150022936
FIN,22,-2.5726247347600957,0.00977371044580743
FJI,21,-3.6219540221192768,0.00031017857746925046
FRA,22,-4.972388492366496,1.1969128811305877e-06
GBR,23,-3.7564932746201034,0.00018767953861628368
GEO,23,-3.0427718068537812,0.002319555679770963
GHA,22,-3.7997491491106867,0.00015926212000967954
GIN,17,-0.7924028191555726,0.3737084609863507
GMB,23,-3.0418108820600183,0.002326814074544619
GRC,21,-2.5613682899646872,0.010093117833629121
GTM,22,-3.6391633693746805,0.00029107713842348165
HKG,22,-2.3431498352973987,0.018419836447924123
HND,20,-4.206541742561512,3.201549037661719e-05
HRV,21,-2.671505184984821,0.007334140639492065
HUN,22,-3.961607742117469,8.520325122543029e-05
IDN,23,-3.96249960134337,8.49060202327164e-05
IND,20,-2.6560653081377907,0.007674696989560744
IRL,22,-4.380084023003298,1.5647807454350535e-05
IRN,21,-2.404716566740509,0.015610490032072457
ISL,23,-3.3013853958228174,0.0009745641357976699
ISR,22,-2.6371065654370627,0.008112323053859333
ITA,22,-3.0235583129609025,0.0024687359390591426
JPN,10,-3.4614301304099593,0.000555477291937477
KAZ,23,-3.222613703903583,0.0012761437473910557
KEN,20,-1.9974143202753805,0.043785586559382535
KGZ,23,-1.491036857086974,0.12735979189927693
KHM,23,-1.7303893390729346,0.0792440278601918
KIR,11,-2.1519616275561857,0.030135144491105218
KOR,23,-3.1826790350075385,0.0014603950726772615
KWT,22,-2.81578302840933,0.00475261264897836
LAO,17,0.3240926466667183,0.7813278275511
LBN,23,-3.2405098910683616,0.0012008224737025122
LKA,17,-4.675378776780829,4.447048999724761e-06
LSO,16,-4.716021968894659,3.7259861643887134e-06
LTE,23,-6.038453997912232,7.787819202494431e-09
LTU,22,-2.706581142330444,0.0066106125302407455
LUX,21,-2.3818076190510427,0.016608465123933824
LVA,22,-3.0204251369404056,0.0024938873206435874
MAC,22,-3.5718785402245823,0.00037274713441754777
MAR,23,-2.5281227220912412,0.011091631898145835
MDA,13,-3.094825239122015,0.001956261332187213
MDG,23,-3.96933264414029,8.26614818058975e-05
MEX,23,-2.7533421298364242,0.0057465385020314735
MHL,13,-1.5647720609591411,0.11068221877606138
MKD,21,-2.883939449097487,0.0038486429899534666
MLI,19,-1.5548082030708938,0.11283567111799547
MLT,22,-4.10363597805233,4.8524536433879316e-05
MNE,18,-3.5831764523804517,0.0003576655686224928
MNG,23,-2.8533980521006144,0.004232246147646736
MOZ,21,-2.361056447401036,0.01756035558744132
MRT,21,-2.660083675131013,0.007584718775087253
MUS,22,-4.148009464889888,4.059153091914376e-05
MYS,23,-3.534322688033986,0.000427321516133999
NAM,23,-3.788550466875831,0.00016619803020093553
NER,21,-2.2790613300649136,0.021804277701526684
NIC,10,-5.276614400974266,2.984487656261141e-07
NLD,20,-2.4602090537339403,0.013408868354389357
NOR,22,-4.695298418976703,4.078158748516248e-06
NPL,22,-1.2771142161336184,0.18581873707348978
NZL,23,-2.786186101396656,0.005202365404850313
OMN,21,-2.2890896814660824,0.021241452610066106
PAK,22,-2.2603127509666274,0.022891274832050546
PAN,22,-5.266825285738217,3.1229387213858715e-07
PER,23,-2.694167556386849,0.0068589433344032865
PHL,19,-3.870238228424896,0.00012154517632110708
POL,20,-3.2721916041166295,0.0010775683130816044
PRT,22,-4.529065342624266,8.345325244130692e-06
PRY,17,-1.631598875366576,0.09702602652427311
PSE,23,-3.9450855860724197,9.089316596098723e-05
QAT,22,-2.2367707259931198,0.024322351000253206
ROU,20,-2.631201143405236,0.00825315349956399
RUS,21,-2.927861869975004,0.0033526202782923793
RWA,22,-3.7984957440317655,0.00016002448117097973
SAU,17,-3.240925151468277,0.0011991250523829486
SDN,19,-2.1253369749009763,0.03218879809269948
SEN,20,-3.083858884966105,0.0020281011381098574
SLB,16,-4.2485345568660335,2.6968010006067935e-05
SLE,13,-2.8359282541467663,0.004467080603790451
SLV,23,-3.565203220270771,0.00038193882063107445
SRB,23,-2.3972418828077235,0.015930147364644504
STP,10,-3.5559907607296983,0.0003949767830641401
SVK,22,-3.0314720998940725,0.002406248163975219
SVN,22,-4.220961713300115,3.0187435595987646e-05
SWE,22,-4.5046203717302875,9.260087098117883e-06
SYC,22,-1.148350124883835,0.22838529036739041
TCD,22,-2.152555892668391,0.030090611676798128
TGO,23,-2.518675365113111,0.011391003214298883
THA,22,-1.9685795200294884,0.04683230222785056
TJK,21,-3.2965625318497938,0.0009909192488581206
TLS,20,-3.523032250683465,0.000445151854271301
TON,21,-1.3090283962565796,0.17612557786534394
TUN,22,-2.5130348328089562,0.011573153149445022
TUR,23,-1.9586015151693361,0.04792661846334554
TZA,23,-4.1683106827952425,3.739289309345696e-05
UGA,17,-3.683111529888977,0.00024723244808404465
UKR,23,-2.6253966397149964,0.008393715879477417
URY,23,-3.493254085567446,0.0004956101483957747
USA,11,-2.4420315340070498,0.01409772593025009
UZB,23,-3.347015014428954,0.0008318590034708407
VNM,23,-2.852994428981589,0.004237541923854427
VUT,17,-2.921417055572008,0.003421525475099601
WSM,13,-3.3285557188199713,0.0008870511145304405
YEM,11,-2.424347824587288,0.014797691997767131
ZAF,23,-3.0408130769452666,0.002334373268688924
ZWE,15,-2.868740192729801,0.004035379137344492
