sample,variable,coef,se,pvalue
developed,ltrade,0.17201917837405878,0.035161809889869604,1.23594980805386e-06
developed,linv,0.20135611151793564,0.027931443950062217,1.45372602844418e-12
developed,school,-0.005662502863106915,0.0012969908710593792,1.4556114216857097e-05
developed,popg,0.04500217038028055,0.008589753327735906,2.1331243549305157e-07
developed,r2,0.15374985992460966,,
developed,n_obs,768.0,,
developing,ltrade,-0.026487538992662124,0.01668714851127489,0.11258066216095242
developing,linv,0.06448894356485597,0.012027349764080264,9.052945637577636e-08
developing,school,-0.0007593581480047011,0.00040094302144910195,0.058358599515546894
developing,popg,0.018101271832098493,0.002767839338909782,7.550204905726332e-11
developing,r2,0.03227529252322392,,
developing,n_obs,2487.0,,
pre_2008,ltrade,0.030840909499678798,0.020231170231623064,0.1277021773163749
pre_2008,linv,0.059816232261244495,0.01352118608702767,1.0699336863595477e-05
pre_2008,school,-0.0014742173888726041,0.0004926461335413766,0.002831901407127191
pre_2008,popg,0.0029721490910589957,0.0032993668027746985,0.367887444837947
pre_2008,r2,0.03242781094501279,,
pre_2008,n_obs,1228.0,,
post_2008,ltrade,0.016825691238739796,0.01651396215077106,0.3083956717029801
post_2008,linv,0.09388665969396998,0.011385242344879254,2.220446049250313e-16
post_2008,school,0.0007440125342256278,0.00043936179485468775,0.09055007568151896
post_2008,popg,0.016790619653804604,0.0023147385046028996,5.948574965941589e-13
post_2008,r2,0.0756808040589062,,
post_2008,n_obs,2027.0,,
high_trade,ltrade,-0.08680316904764963,0.028840101794565448,0.002658794928562802
high_trade,linv,0.021496364708763368,0.015775890389377014,0.17321530514219274
high_trade,school,0.0008505360461088487,0.0006908724727035073,0.21848147290478193
high_trade,popg,0.01667488858751456,0.0028188919809045664,4.1143106699337295e-09
high_trade,r2,0.03185605769448241,,
high_trade,n_obs,1620.0,,
low_trade,ltrade,-0.0068442953638393166,0.020658248061173362,0.7404565496312401
low_trade,linv,0.15141198293679056,0.014623170687650124,0.0
low_trade,school,-0.0021444349294301537,0.0004389416961802913,1.1431742694689717e-06
low_trade,popg,-0.00026313867920151724,0.007014945560400997,0.970082477751586
low_trade,r2,0.07279478442873921,,
low_trade,n_obs,1635.0,,
