model,variable,coef,se,pvalue
pooled_ols,ltrade,0.9983704617788833,0.046416242778007245,0.0
pooled_ols,linv,-0.1353619613824489,0.0682200380079514,0.04731792004554247
pooled_ols,school,0.0029784553675041934,0.0017272526274252063,0.0847327342321853
pooled_ols,popg,-0.19406584539550448,0.014745004079576223,0.0
pooled_ols,r2,0.18908324718107228,,
pooled_ols,n_obs,3255.0,,
fe,ltrade,0.07663601019673438,0.01994298583067486,0.00012412205377310137
fe,linv,0.1600626887126105,0.015282113955686927,0.0
fe,school,-0.0014579237941044086,0.000523978103694084,0.005428572916233776
fe,popg,-0.001033515491636177,0.0036058216353339442,0.7744194581045529
fe,r2,0.04388779549780508,,
fe,n_obs,3255.0,,
te,ltrade,0.9942807663430729,0.04641729893378705,0.0
te,linv,-0.1726916743155136,0.06854650881953038,0.01180555816853901
te,school,0.00277324351816819,0.0017246695583663573,0.10793616509055348
te,popg,-0.18289884728922542,0.014858216304642713,0.0
te,r2,0.18250862022624292,,
te,n_obs,3255.0,,
twfe,ltrade,-0.045604078393886714,0.014470943421936198,0.0016405122532039407
twfe,linv,0.08974316529195087,0.010689041901961729,0.0
twfe,school,-0.0008266142101883787,0.00036830911809898685,0.024881360103574668
twfe,popg,0.017833144178961795,0.0025364070557698237,2.5222046673434306e-12
twfe,r2,0.04190874411105394,,
twfe,n_obs,3255.0,,
